INFO 2019-10-10 09:53:19,091 autoreload 597 Watching for file changes with StatReloader
INFO 2019-10-10 09:53:28,843 basehttp 154 "GET / HTTP/1.1" 200 5263
INFO 2019-10-10 09:53:29,115 basehttp 154 "GET /static/rest_framework/css/default.css HTTP/1.1" 304 0
INFO 2019-10-10 09:53:29,118 basehttp 154 "GET /static/rest_framework/js/jquery-3.4.1.min.js HTTP/1.1" 304 0
INFO 2019-10-10 09:53:29,119 basehttp 154 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 304 0
INFO 2019-10-10 09:53:29,127 basehttp 154 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 304 0
INFO 2019-10-10 09:53:29,129 basehttp 154 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 304 0
INFO 2019-10-10 09:53:29,136 basehttp 154 "GET /static/rest_framework/js/default.js HTTP/1.1" 304 0
INFO 2019-10-10 09:53:29,133 basehttp 154 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 304 0
INFO 2019-10-10 09:53:29,129 basehttp 154 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 304 0
INFO 2019-10-10 09:53:29,138 basehttp 154 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 304 0
INFO 2019-10-10 09:53:29,143 basehttp 154 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 304 0
INFO 2019-10-10 09:53:29,202 basehttp 154 "GET /static/rest_framework/img/grid.png HTTP/1.1" 304 0
WARNING 2019-10-10 09:53:29,411 log 228 Not Found: /favicon.ico
WARNING 2019-10-10 09:53:29,414 basehttp 154 "GET /favicon.ico HTTP/1.1" 404 4406
INFO 2019-10-10 09:53:34,650 basehttp 154 "GET /index/ HTTP/1.1" 200 17060
WARNING 2019-10-10 09:53:35,677 basehttp 154 "GET /static/images/wechat.jpg HTTP/1.1" 404 1675
INFO 2019-10-10 09:53:38,417 basehttp 154 "GET /register/ HTTP/1.1" 200 4591
INFO 2019-10-10 09:53:38,436 basehttp 154 "GET /static/users/js/auth.js HTTP/1.1" 200 10841
WARNING 2019-10-10 09:53:38,520 log 228 Not Found: /image_codes/484fae29-5af4-42e8-9369-3fbcfb38d3fe/
WARNING 2019-10-10 09:53:38,526 basehttp 154 "GET /image_codes/484fae29-5af4-42e8-9369-3fbcfb38d3fe/ HTTP/1.1" 404 4520
WARNING 2019-10-10 09:53:42,284 log 228 Not Found: /usernames/xiaoming/
WARNING 2019-10-10 09:53:42,285 basehttp 154 "GET /usernames/xiaoming/ HTTP/1.1" 404 4430
WARNING 2019-10-10 09:53:42,383 log 228 Not Found: /image_codes/e7547d6e-8a8c-4016-b4ca-048d8f0dcb2a/
WARNING 2019-10-10 09:53:42,384 basehttp 154 "GET /image_codes/e7547d6e-8a8c-4016-b4ca-048d8f0dcb2a/ HTTP/1.1" 404 4520
INFO 2019-10-10 09:56:37,355 basehttp 154 "GET /register/ HTTP/1.1" 200 4591
WARNING 2019-10-10 09:56:37,420 log 228 Not Found: /image_codes/16ea7975-51d9-490e-8b32-3214070c9708/
WARNING 2019-10-10 09:56:37,422 basehttp 154 "GET /image_codes/16ea7975-51d9-490e-8b32-3214070c9708/ HTTP/1.1" 404 4520
INFO 2019-10-10 09:56:38,166 basehttp 154 "GET /register/ HTTP/1.1" 200 4591
WARNING 2019-10-10 09:56:38,213 log 228 Not Found: /image_codes/a88a99a9-b616-4230-aea9-1e997c2dd847/
WARNING 2019-10-10 09:56:38,219 basehttp 154 "GET /image_codes/a88a99a9-b616-4230-aea9-1e997c2dd847/ HTTP/1.1" 404 4520
INFO 2019-10-10 09:56:38,685 basehttp 154 "GET /register/ HTTP/1.1" 200 4591
WARNING 2019-10-10 09:56:38,746 log 228 Not Found: /image_codes/85c6e094-3f86-4838-8bb4-6563b633a2db/
WARNING 2019-10-10 09:56:38,748 basehttp 154 "GET /image_codes/85c6e094-3f86-4838-8bb4-6563b633a2db/ HTTP/1.1" 404 4520
INFO 2019-10-10 09:56:38,965 basehttp 154 "GET /register/ HTTP/1.1" 200 4591
WARNING 2019-10-10 09:56:39,012 log 228 Not Found: /image_codes/14100544-183b-43d6-a261-2f5fceffd7a1/
WARNING 2019-10-10 09:56:39,015 basehttp 154 "GET /image_codes/14100544-183b-43d6-a261-2f5fceffd7a1/ HTTP/1.1" 404 4520
INFO 2019-10-10 09:58:37,312 autoreload 597 Watching for file changes with StatReloader
INFO 2019-10-10 09:58:47,712 autoreload 597 Watching for file changes with StatReloader
INFO 2019-10-10 09:58:50,520 basehttp 154 "GET /register/ HTTP/1.1" 200 4591
